team_name,conference,w,l,adj_em,adj_o,adj_d,adj_tempo,luck,sos_adj_em,sos_adj_o,sos_adj_d,ncsos_adj_em
Longwood,BSth,16,16,-9.12,103.4,112.6,68.4,-0.036,-8.4,104.5,112.9,-10.62
Hampton,CAA,13,19,-9.19,102.5,111.6,65.3,-0.013,-3.8,106.3,110,-7.5
Western Michigan,MAC,10,21,-9.23,107.8,117,67.7,-0.036,-1.3,108.4,109.7,-2.09
Dartmouth,Ivy,11,16,-9.36,104.7,114.1,69.5,0,-2.27,108.5,110.7,-4.54
North Dakota,Sum,18,17,-9.51,106.8,116.3,67.2,0.111,-3.64,107.9,111.5,-0.45
UTEP,CUSA,11,20,-9.58,100.8,110.4,65.5,0.01,-0.38,108.6,109,3.43
Mount St. Mary's,MAAC,15,17,-9.61,99.4,109,67.5,0.028,-7.24,104.2,111.5,0.82
Bellarmine,ASun,13,19,-9.66,116.5,126.1,64.6,-0.013,-4.77,108.4,113.2,2.38
Southern,SWAC,17,17,-9.75,104.6,114.4,69.9,0.06,-6.37,105.1,111.5,15.21
Loyola Chicago,A10,9,24,-10.17,103.3,113.5,65.5,0.057,2.81,110.4,107.5,-4.63
Northwestern St.,Slnd,10,22,-10.21,102.2,112.5,64.7,-0.013,-0.95,107.6,108.5,7.71
South Dakota,Sum,16,16,-10.27,104.3,114.6,69.8,0.056,-5.72,106.9,112.7,-3.71
Morehead St.,OVC,20,13,-10.35,106.9,117.2,65.3,0.16,-7.02,104,111,6.23
Lehigh,PL,18,16,-10.37,102.7,113.1,66.9,0.081,-8.61,104.9,113.5,-0.54
Southeastern Louisiana,Slnd,9,22,-10.58,99.7,110.2,65.5,-0.006,-0.9,107.9,108.8,5.34
Northeastern,CAA,7,24,-10.6,107.5,118.1,69.6,-0.061,-1.78,108.1,109.8,-0.86
Mercyhurst,NEC,17,17,-10.67,101.2,111.9,64.8,-0.013,-10.81,102.6,113.4,0.17
Prairie View A&M,SWAC,18,17,-10.69,101.2,111.9,70.9,0.013,-9.59,103.4,113,8.98
East Texas A&M,Slnd,11,21,-10.83,100.7,111.5,68.2,0.001,-0.83,108,108.8,6.68
Brown,Ivy,9,18,-10.85,97.9,108.8,66.5,-0.05,-3.96,107.8,111.7,-8.78
North Carolina A&T,CAA,11,19,-10.98,105.2,116.2,68.5,-0.023,-3.75,107.4,111.1,-8.93
Houston Christian,Slnd,12,20,-11.14,102.9,114,64.4,0.034,-2.46,107.4,109.8,-0.99
Delaware,CUSA,10,21,-11.27,104.4,115.7,63.1,0.006,-2.78,107.4,110.2,-6.92
Ball St.,MAC,12,19,-11.31,98.6,109.9,63.7,-0.005,-4.05,107.9,112,-6.41
Jacksonville,ASun,12,20,-11.47,103,114.5,63.3,-0.03,-4.07,108.9,113,5.19
