team_name,conference,w,l,adj_em,adj_o,adj_d,adj_tempo,luck,sos_adj_em,sos_adj_o,sos_adj_d,ncsos_adj_em
Colorado,B12,17,15,12.11,118.9,106.8,68.7,0.024,10.83,115.3,104.5,0.07
Providence,BE,15,18,11.81,121.1,109.3,71.2,-0.09,10.99,114.1,103.1,-0.53
Northern Iowa,MVC,23,12,11.81,110,98.2,62.3,-0.07,1.27,109.5,108.2,-0.87
California,ACC,21,11,11.43,114.1,102.6,68,0.044,7.12,113.4,106.3,-6.42
Wake Forest,ACC,17,16,11.39,117,105.6,68.1,-0.022,11.27,115.8,104.6,0.66
Nevada,MWC,22,12,11.3,115.7,104.4,66.1,0.012,5.99,112.1,106.1,2.83
Creighton,BE,15,17,11.01,116.2,105.2,67.5,-0.029,11.72,114.6,102.8,3.34
Minnesota,B10,15,17,10.91,114.6,103.7,62.5,-0.061,10.48,116,105.5,-8.65
Dayton,A10,23,11,10.91,110.6,99.7,66.9,0.043,4.83,112,107.2,1.18
Georgetown,BE,16,18,10.89,114.6,103.7,66.2,-0.049,10.54,113.9,103.4,-4.13
USC,B10,18,14,10.81,113.5,102.7,70.6,0.068,12.23,116.4,104.2,-0.84
Yale,Ivy,24,6,10.65,121.1,110.4,64.4,0.045,-1.09,108.8,109.9,1.26
Wichita St.,Amer,22,11,9.78,112.6,102.8,66.1,-0.038,1.35,110.2,108.8,-2.24
Syracuse,ACC,15,17,9.74,114.6,104.9,67.4,-0.046,10.33,113.9,103.6,-2.19
Marquette,BE,12,20,9.66,111.8,102.2,68.9,-0.111,10.97,115.3,104.3,1.85
George Washington,A10,18,15,9.64,117.6,108,69.1,-0.141,1.58,109.3,107.7,-2.8
Butler,BE,16,16,9.49,116.1,106.6,68.7,-0.031,9.95,114,104.1,-3.01
Hofstra,CAA,24,10,9.49,114.6,105.1,64.7,-0.052,-0.91,108,108.9,3.13
Colorado St.,MWC,21,12,9.49,118.9,109.4,63,0.04,4.89,112.1,107.2,-2.19
Notre Dame,ACC,13,18,8.88,115.5,106.6,65.9,-0.059,10.73,114.8,104.1,1.42
Utah Valley,WAC,25,8,8.82,112.8,104,68.7,0.033,-0.34,107,107.4,2.53
Stephen F. Austin,Slnd,28,5,8.43,112.6,104.2,65.7,0.029,-3.65,106,109.6,-3.79
High Point,BSth,30,4,8.4,117,108.6,69.9,0.048,-9.23,103.7,112.9,-8.88
